,condition_label,medical_abstract,condition_name
0,5,tissue changes around loose prostheses a canine model to investigate the effects of an antiinflammatory agent the aseptically loosened prosthesis provided a means for investigating the in vivo and in vitro activity of the cells associated with the loosening process in seven dogs the cells were isolated and maintained in culture for sufficient periods of time so that their biologic activity could be studied as well as the effect of different agents added to the cells in vivo or in vitro the biologic response as determined by interleukin1 and prostaglandin e2 activity paralleled the roentgenographic appearance of loosening and the technetium images and observations made at the time of revision surgery the correlation between clinical roentgenographic histologic and biochemical loosening indicates that the canine model is suitable for investigating the mechanisms of prosthetic failure a canine model permits the study of possible nonsurgical therapeutic interventions with the ultimate hope of stopping or slowing the loosening process ,general pathological conditions
1,1,neuropeptide y and neuronspecific enolase levels in benign and malignant pheochromocytomas neuronspecific enolase nse is the isoform of enolase a glycolytic enzyme found in the neuroendocrine system neuropeptide y npy is a peptide recently discovered in the peripheral and central nervous systems serum nse and plasma npy levels have been reported to be increased in some patients with pheochromocytoma the authors evaluated whether the measurement of these molecules could help to discriminate between benign and malignant forms of pheochromocytoma the nse levels were normal in all patients with benign pheochromocytoma n  13 and elevated in one half of those with malignant pheochromocytoma n  13 plasma npy levels were on the average significantly higher in the malignant 1771  389 pmoll n  16 than in the benign forms of the disease 157  389 pmoll n  24 however there was no difference in the percentage of patients with elevated npy levels these results show that determination of serum nse may be useful for distinguishing between malignant and benign pheochromocytoma the measurement of plasma npy is not useful for differentiating the two kinds of tumors ,neoplasms
2,2,sexually transmitted diseases of the colon rectum and anus the challenge of the nineties during the past two decades an explosive growth in both the prevalence and types of sexually transmitted diseases has occurred up to 55 percent of homosexual men with anorectal complaints have gonorrhea 80 percent of the patients with syphilis are homosexuals chlamydia is found in 15 percent of asymptomatic homosexual men and up to one third of homosexuals have active anorectal herpes simplex virus in addition a host of parasites bacterial viral and protozoan are all rampant in the homosexual population furthermore the global epidemic of aids has produced a plethora of colorectal manifestations acute cytomegalovirus ileocolitis is the most common indication for emergency abdominal surgery in the homosexual aids population along with cryptosporidia and isospora the patient may present to the colorectal surgeon with bloody diarrhea and weight loss before the diagnosis of human immunodeficiency virus hiv disease other patients may present with colorectal kaposis sarcoma or anorectal lymphoma and consequently will be found to have seropositivity for hiv however in addition to these protean manifestations one third of patients with aids consult the colorectal surgeon with either condylomata acuminata anorectal sepsis or proctitis before the diagnosis of hiv disease although aggressive anorectal surgery is associated with reasonable surgical results in some asymptomatic hiv positive patients the same procedures in aids symptomatic hiv positive patients will often be met with disastrous results it is incumbent upon the surgeon therefore to recognize the manifestations of hiv disease and diagnose these conditions accordingly ,digestive system diseases
3,1,lipolytic factors associated with murine and human cancer cachexia we have identified a lipolytic factor in extracts of a cachexiainducing murine carcinoma mac16 that shows characteristics of an acidic peptide and appears to be composed of three fractions of apparent molecular weights corresponding to 3 kd 15 kd and 07 kd as determined by exclusion chromatography material with identical chromatographic and molecular weight characteristics was also present in the serum of patients with clinical cancer cachexia but absent from normal serum even under conditions of starvation the mac16 lipid factor when injected into animals bearing the noncachexiainducing tumor mac13 was capable of inducing weight loss without a significant reduction in food intake similar lipolytic material although in lower concentration was also found in the mac13 tumor extracts these findings suggest that cachexia may arise from the enhanced expression of a lipolytic factor associated with tumor cells ,neoplasms
4,3,does carotid restenosis predict an increased risk of late symptoms stroke or death the identification of carotid restenosis as an unexpected late complication of carotid endarterectomy has prompted concerns regarding its importance as a source of new cerebral symptoms stroke and death to investigate these concerns we analyzed a consecutive series of 507 patients undergoing 566 carotid endarterectomies each documented as technically satisfactory postoperative duplex doppler examination data at 3 days 1 3 6 12 months and annually thereafter in 484 arteries 855 permitted classification of these arteries according to the most severe degree of postoperative stenosis normal n  306 1 to 19 n  89 20 to 50 n  40 more than 50 n  49 including 8 occluded the incidence of more than 50 restenosis was 145 in female and 77 in male patients p  0003 life table analyses to 10 years revealed a significantly greater life expectancy among those with restenosis p  005 stroke was also less likely in patients with restenosis although this difference did not reach statistical significance when survival and stroke were both endpoints the likelihood of patients with more than 50 restenosis remaining alive and stroke free was also greater than the less than 20 stenotic group p  003 thus patients with carotid restenosis were less likely than patients with normal postoperative scans to have late symptoms stroke or early death ,nervous system diseases
5,3,the shoulder in multiple epiphyseal dysplasia one hundred shoulders were assessed in 50 patients with multiple epiphyseal dysplasia of which onethird were found to have bilateral symptoms two distinct clinical and radiological groups emerged those with minor epiphyseal abnormalities developed painful osteoarthritis in middle age but retained shoulder movement until the secondary changes were advanced those with hatchet head shoulders likewise became painful in the fifth and sixth decades but had minimal glenohumeral movement from an early stage ,nervous system diseases
6,2,the management of postoperative chylous ascites a case report and literature review chylous ascites remains rare as a complication of surgical intervention although therapeutic manoeuvres to control chylous ascites have been developed over the past 20 years its pathophysiology is poorly understood conservative approaches involving dietary restriction of longchain triglycerides and salt together with multiple paracenteses are still the therapies of choice persistent chylous ascites may be treated surgically by ligation of leaking lymphatics or implantation of a peritoneovenous shunt once the lymphatic anatomy has been defined by preoperative investigations we report a case of chylous ascites developing after laparotomy and duodenotomy for obscure gastrointestinal bleeding which did not respond adequately to medical therapy and was successfully managed by the insertion of a peritoneovenous shunt ,digestive system diseases
7,4,pharmacomechanical thrombolysis and angioplasty in the management of clotted hemodialysis grafts early and late clinical results the results of pharmacomechanical thrombolysis and angioplasty of 121 thrombosed hemodialysis grafts were reviewed the initial pharmacomechanical method used in 65 cases employed clot maceration with hookshaped catheters and clot lacing with highly concentrated urokinase the current technique used in 56 cases consisted of pulsedspray injection of urokinase into the clot all fully treated grafts 117 cases underwent complete or nearcomplete thrombolysis and 93 remained patent after 1 day mean time for pulsedspray lysis was 46 minutes  21 one patient less than 1 had gastrointestinal bleeding and received a transfusion minor complications occurred in 3 of patients primary and secondary graft patency rates for both methods at 1 year were 26 and 51 respectively while graft age and results of angioplasty did not influence future graft patency shorter intervals between graft thromboses was predictive of earlier subsequent graft failure results suggest that pharmacomechanical thrombolysis and angioplasty provide rapid consistent and safe recanalization of clotted hemodialysis grafts and represent a promising additional therapeutic approach to longterm graft management ,cardiovascular diseases
8,5,color doppler diagnosis of mechanical prosthetic mitral regurgitation usefulness of the flow convergence region proximal to the regurgitant orifice in prosthetic or paravalvular prosthetic mitral regurgitation transthoracic color doppler flow mapping can sometimes fail to detect the regurgitant jet within the left atrium because of the shadowing by the prosthetic valve to overcome this limitation we assessed the utility of color doppler visualization of the flow convergence region fcr proximal to the regurgitant orifice in 20 consecutive patients with mechanical prosthetic mitral regurgitation documented by surgery and cardiac catheterization 13 of 20 patients in addition we studied 33 patients with normally functioning mitral prostheses doppler studies were performed in the apical subcostal and parasternal longaxis views an fcr was detected in 95 19 of 20 of patients with prosthetic mitral regurgitation a jet area in the left atrium was detected in 60 12 of 20 of patients in 18 of 19 patients with dopplerdetected fcr the site of the leak was correctly identified by observing the location of the fcr a trivial jet area was detected in eight patients with a normally functioning mitral prosthesis in none was an fcr identified thus color doppler visualization of the fcr proximal to the regurgitant orifice is superior to the jet area in the diagnosis of mechanical prosthetic mitral regurgitation moreover fcr permits localization of the site of the leak with good accuracy ,general pathological conditions
9,5,noninvasive diagnosis of rightsided extracardiac conduit obstruction by combined magnetic resonance imaging and continuouswave doppler echocardiography rightsided extracardiac conduits are frequently complicated by obstruction over time we compared the utility of twodimensional and doppler echocardiography and magnetic resonance imaging in the diagnosis of postoperative rightsided obstruction with cardiac catheterization and angiography in 10 patients with xenograft or homograft conduits correlation r  095 between continuouswave doppler estimates and catheter pullback pressure gradients across the conduits was excellent echocardiography could only visualize five of 10 conduits in their entirety magnetic resonance imaging visualized all conduits and showed statistically significant kappa  058 agreement with angiography in the localization and estimation of severity of a variety of rightsided obstructions in these patients however flow voids created by the metallic ring around xenograft valves led to a false negative diagnosis of valvular stenosis in four patients when magnetic resonance imaging was used alone doppler studies correctly indicated obstruction in these patients the combination of magnetic resonance imaging studies and continuouswave doppler echocardiography can be useful to noninvasively evaluate rightsided obstruction in postoperative patients with rightsided extracardiac conduits ,general pathological conditions
