,condition_label,medical_abstract,condition_name
0,5,tissue change loose prosthesis canine model investigate effect antiinflammatory agent aseptically loosen prosthesis provide means investigate vivo vitro activity cell associate loosening process seven dog cell isolate maintain culture sufficient period time biologic activity study effect different agent add cell vivo vitro biologic response determine interleukin-1 prostaglandin e2 activity parallel roentgenographic appearance loosening technetium image observation time revision surgery correlation clinical roentgenographic histologic biochemical loosening indicate canine model suitable investigate mechanism prosthetic failure canine model permit study possible nonsurgical therapeutic intervention ultimate hope stop slow loosening process,general pathological conditions
1,1,neuropeptide y neuron specific enolase level benign malignant pheochromocytoma neuron specific enolase nse isoform enolase glycolytic enzyme find neuroendocrine system neuropeptide y npy peptide recently discover peripheral central nervous system serum nse plasma npy level report increase patient pheochromocytoma author evaluate measurement molecule help discriminate benign malignant form pheochromocytoma nse level normal patient benign pheochromocytoma n elevate half malignant pheochromocytoma n plasma npy level average significantly high malignant 177.1 /- 38.9 pmol l n benign form disease 15.7 /- pmol l n difference percentage patient elevated npy level result determination serum nse useful distinguish malignant benign pheochromocytoma measurement plasma npy useful differentiate kind tumor,neoplasms
2,2,sexually transmit disease colon rectum anus challenge ninety past decade explosive growth prevalence type sexually transmit disease occur percent homosexual man anorectal complaint gonorrhea percent patient syphili homosexual chlamydia find percent asymptomatic homosexual man homosexual active anorectal herpe simplex virus addition host parasite bacterial viral protozoan rampant homosexual population furthermore global epidemic aids produce plethora colorectal manifestation acute cytomegalovirus ileocolitis common indication emergency abdominal surgery homosexual aid population cryptosporidia isospora patient present colorectal surgeon bloody diarrhea weight loss diagnosis human immunodeficiency virus hiv disease patient present colorectal kaposi sarcoma anorectal lymphoma consequently find seropositivity hiv addition protean manifestation patient aid consult colorectal surgeon condylomata acuminata anorectal sepsis proctitis diagnosis hiv disease aggressive anorectal surgery associate reasonable surgical result asymptomatic hiv positive patient procedure aids symptomatic hiv positive patient meet disastrous result incumbent surgeon recognize manifestation hiv disease diagnose condition accordingly,digestive system diseases
3,1,lipolytic factor associate murine human cancer cachexia identify lipolytic factor extract cachexia induce murine carcinoma mac16 characteristic acidic peptide appear compose fraction apparent molecular weight correspond kd 1.5 kd 0.7 kd determine exclusion chromatography material identical chromatographic molecular weight characteristic present serum patient clinical cancer cachexia absent normal serum condition starvation mac16 lipid factor inject animal bear non cachexia induce tumor mac13 capable induce weight loss significant reduction food intake similar lipolytic material low concentration find mac13 tumor extract finding suggest cachexia arise enhanced expression lipolytic factor associate tumor cell,neoplasms
4,3,carotid restenosis predict increase risk late symptom stroke death identification carotid restenosis unexpected late complication carotid endarterectomy prompt concern regard importance source new cerebral symptom stroke death investigate concern analyze consecutive series patient undergo carotid endarterectomy document technically satisfactory post operative duplex doppler examination datum day month annually artery 85.5 permit classification artery accord severe degree postoperative stenosis normal n n n n include occluded incidence restenosis 14.5 female 7.7 male patient p 0.003 life table analyse year reveal significantly great life expectancy restenosis p 0.05 stroke likely patient restenosis difference reach statistical significance survival stroke endpoint likelihood patient restenosis remain alive stroke free great stenotic group p 0.03 patient carotid restenosis likely patient normal postoperative scan late symptom stroke early death,nervous system diseases
5,3,shoulder multiple epiphyseal dysplasia shoulder assess patient multiple epiphyseal dysplasia find bilateral symptom distinct clinical radiological group emerge minor epiphyseal abnormality develop painful osteoarthritis middle age retain shoulder movement secondary change advanced hatchet head shoulder likewise painful fifth sixth decade minimal glenohumeral movement early stage,nervous system diseases
6,2,management postoperative chylous ascite case report literature review chylous ascite remain rare complication surgical intervention therapeutic manoeuvre control chylous ascite develop past year pathophysiology poorly understand conservative approach involve dietary restriction long chain triglyceride salt multiple paracentese therapy choice persistent chylous ascite treat surgically ligation leak lymphatic implantation peritoneovenous shunt lymphatic anatomy define preoperative investigation report case chylous ascite develop laparotomy duodenotomy obscure gastrointestinal bleeding respond adequately medical therapy successfully manage insertion peritoneovenous shunt,digestive system diseases
7,4,pharmacomechanical thrombolysis angioplasty management clot hemodialysis graft early late clinical result result pharmacomechanical thrombolysis angioplasty thrombose hemodialysis graft review initial pharmacomechanical method use case employ clot maceration hook shape catheter clot lace highly concentrated urokinase current technique use case consist pulse spray injection urokinase clot fully treat graft case undergo complete near complete thrombolysis remain patent day mean time pulse spray lysis minute /- patient gastrointestinal bleeding receive transfusion minor complication occur patient primary secondary graft patency rate method year respectively graft age result angioplasty influence future graft patency short interval graft thrombose predictive early subsequent graft failure result suggest pharmacomechanical thrombolysis angioplasty provide rapid consistent safe recanalization clot hemodialysis graft represent promising additional therapeutic approach long term graft management,cardiovascular diseases
8,5,color doppler diagnosis mechanical prosthetic mitral regurgitation usefulness flow convergence region proximal regurgitant orifice prosthetic paravalvular prosthetic mitral regurgitation transthoracic color doppler flow mapping fail detect regurgitant jet left atrium shadowing prosthetic valve overcome limitation assess utility color doppler visualization flow convergence region fcr proximal regurgitant orifice consecutive patient mechanical prosthetic mitral regurgitation document surgery cardiac catheterization patient addition study patient normally function mitral prosthesis doppler study perform apical subcostal parasternal long axis view fcr detect patient prosthetic mitral regurgitation jet area left atrium detect patient patient doppler detect fcr site leak correctly identify observe location fcr trivial jet area detect patient normally function mitral prosthesis fcr identify color doppler visualization fcr proximal regurgitant orifice superior jet area diagnosis mechanical prosthetic mitral regurgitation fcr permit localization site leak good accuracy,general pathological conditions
9,5,noninvasive diagnosis right sided extracardiac conduit obstruction combine magnetic resonance imaging continuous wave doppler echocardiography right sided extracardiac conduit frequently complicate obstruction time compare utility dimensional doppler echocardiography magnetic resonance imaging diagnosis postoperative right sided obstruction cardiac catheterization angiography patient xenograft homograft conduit correlation r 0.95 continuous wave doppler estimate catheter pullback pressure gradient conduit excellent echocardiography visualize conduit entirety magnetic resonance imaging visualize conduit statistically significant kappa 0.58 agreement angiography localization estimation severity variety right obstruction patient flow voids create metallic ring xenograft valve lead false negative diagnosis valvular stenosis patient magnetic resonance imaging use doppler study correctly indicate obstruction patient combination magnetic resonance imaging study continuous wave doppler echocardiography useful noninvasively evaluate right sided obstruction postoperative patient right sided extracardiac conduit,general pathological conditions
